mapping	target_segment_id	target_title	target_type	rank	score	lexical_overlap	candidate_segment_id	candidate_title	candidate_type	video_start	video_end	video_start_seconds	video_end_seconds	youtube_start_corrected	candidate_text
tidy_sections_to_chapters	tidy:section:001	🗺️ Feeling of Computing demo transcript: 2D visual language topic map ZUI	tidy_section	1	0.528784	0.177778	chapter:05	Adding visual language: generated icons	chapter	00:05:24.413	00:06:14.406	324.413	374.406	00:37:23.413	Adding visual language: generated icons. semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What would be more useful is a zoomable user interface where we can look at different things at different levels and
tidy_sections_to_chapters	tidy:section:001	🗺️ Feeling of Computing demo transcript: 2D visual language topic map ZUI	tidy_section	2	0.487026	0.139535	chapter:07	Q (Ivy): can the interface express, not just reveal?	chapter	00:07:54.548	00:08:12.087	474.548	492.087	00:39:53.548	Q (Ivy): can the interface express, not just reveal?. So far, you have talked about what this interface is revealing, what it is showing, and how it relates to higher-dimensional spaces I’m curious what you have thought about with respect to doing expressive
tidy_sections_to_chapters	tidy:section:001	🗺️ Feeling of Computing demo transcript: 2D visual language topic map ZUI	tidy_section	3	0.459932	0.097561	chapter:15	Closing	chapter	00:19:55.657	00:20:17.599	1195.657	1217.599	00:51:54.657	Closing. Luke, thank you very much for sharing what seems to be promising first steps on a project I will be excited to see this unfold in the coming months Thanks to Jasmine Otto, Ivan Lugo, and Luke for demoing today Thanks everybody for coming out, and we
tidy_sections_to_chapters	tidy:section:002	👋 Introduction	tidy_section	1	0.775827	0.909091	chapter:01	Intro: good mental models, high-bandwidth visual cognition	chapter	00:00:00.838	00:00:52.468	0.838	52.468	00:31:59.838	Intro: good mental models, high-bandwidth visual cognition. Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are
tidy_sections_to_chapters	tidy:section:002	👋 Introduction	tidy_section	2	0.513651	0.405797	chapter:05	Adding visual language: generated icons	chapter	00:05:24.413	00:06:14.406	324.413	374.406	00:37:23.413	Adding visual language: generated icons. semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What would be more useful is a zoomable user interface where we can look at different things at different levels and
tidy_sections_to_chapters	tidy:section:002	👋 Introduction	tidy_section	3	0.501084	0.38961	chapter:13	MiniLM salience, then the Manifold Steering paper	chapter	00:15:26.504	00:16:57.935	926.504	1017.935	00:47:25.504	MiniLM salience, then the Manifold Steering paper. It basically showed things like different dates mapping to a particular shape inside large language models They look at things like weekdays in different language models corresponding to certain shapes So I p
tidy_sections_to_chapters	tidy:section:003	🧩 Why the first map looks messy	tidy_section	1	0.919817	0.983051	chapter:02	Why the first map looks messy (high-D to 2D, overlap, force-directed kludge)	chapter	00:00:52.468	00:01:35.655	52.468	95.655	00:32:51.468	Why the first map looks messy (high-D to 2D, overlap, force-directed kludge). This is what happens when a data set of topics is projected down from high-dimensional space into 2D space We should expect it to be a mess We should expect overlap By default, ther
tidy_sections_to_chapters	tidy:section:003	🧩 Why the first map looks messy	tidy_section	2	0.65736	0.688679	chapter:03	No-overlap layout that keeps semantic integrity	chapter	00:01:35.655	00:03:57.121	95.655	237.121	00:33:34.655	No-overlap layout that keeps semantic integrity. two-dimensional representation unless that dimension is deliberately added When we add that dimension, we then have to decide what to do about overlap One common thing people do is use a force-directed effect:
tidy_sections_to_chapters	tidy:section:003	🧩 Why the first map looks messy	tidy_section	3	0.557431	0.339623	chapter:08	Projecting back with UMAP: where would a new thing land?	chapter	00:08:12.087	00:10:12.774	492.087	612.774	00:40:11.087	Projecting back with UMAP: where would a new thing land?. There is a popular library called UMAP Learn that lets us do that UMAP is a common solution for dimensionality reduction of high dimensional data It does not have a global objective It is mostly local,
tidy_sections_to_chapters	tidy:section:004	🧭 Finding non-overlapping positions without losing meaning	tidy_section	1	0.782313	0.652542	chapter:03	No-overlap layout that keeps semantic integrity	chapter	00:01:35.655	00:03:57.121	95.655	237.121	00:33:34.655	No-overlap layout that keeps semantic integrity. two-dimensional representation unless that dimension is deliberately added When we add that dimension, we then have to decide what to do about overlap One common thing people do is use a force-directed effect:
tidy_sections_to_chapters	tidy:section:004	🧭 Finding non-overlapping positions without losing meaning	tidy_section	2	0.62363	0.901408	chapter:04	Pepys as corpus: bladder-stone, gold, Navy, Great Fire clusters	chapter	00:03:57.121	00:05:24.413	237.121	324.413	00:35:56.121	Pepys as corpus: bladder-stone, gold, Navy, Great Fire clusters. The stone was a personal concern of his He had frequent pains, especially when he got cold, and it became one of his anxious preoccupations Another one is gold Gold fits into a psychological kin
tidy_sections_to_chapters	tidy:section:004	🧭 Finding non-overlapping positions without losing meaning	tidy_section	3	0.498663	0.371429	chapter:06	Salience-driven scale and opacity; zoom states	chapter	00:06:14.406	00:07:54.548	374.406	474.548	00:38:13.406	Salience-driven scale and opacity; zoom states. of some nodes For instance, there is a woman who was loosely related to some people in this area through gossip She is not as central to Pepys’s life Her centrality is low, but she is still an interesting figure
tidy_sections_to_chapters	tidy:section:005	🎨 Adding visual language with generated icons	tidy_section	1	0.863688	1.0	chapter:05	Adding visual language: generated icons	chapter	00:05:24.413	00:06:14.406	324.413	374.406	00:37:23.413	Adding visual language: generated icons. semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What would be more useful is a zoomable user interface where we can look at different things at different levels and
tidy_sections_to_chapters	tidy:section:005	🎨 Adding visual language with generated icons	tidy_section	2	0.734201	0.771429	chapter:06	Salience-driven scale and opacity; zoom states	chapter	00:06:14.406	00:07:54.548	374.406	474.548	00:38:13.406	Salience-driven scale and opacity; zoom states. of some nodes For instance, there is a woman who was loosely related to some people in this area through gossip She is not as central to Pepys’s life Her centrality is low, but she is still an interesting figure
tidy_sections_to_chapters	tidy:section:005	🎨 Adding visual language with generated icons	tidy_section	3	0.502506	0.341463	chapter:03	No-overlap layout that keeps semantic integrity	chapter	00:01:35.655	00:03:57.121	95.655	237.121	00:33:34.655	No-overlap layout that keeps semantic integrity. two-dimensional representation unless that dimension is deliberately added When we add that dimension, we then have to decide what to do about overlap One common thing people do is use a force-directed effect:
tidy_sections_to_chapters	tidy:section:006	❓ Question: can the interface be used to express things?	tidy_section	1	0.835739	0.813953	chapter:07	Q (Ivy): can the interface express, not just reveal?	chapter	00:07:54.548	00:08:12.087	474.548	492.087	00:39:53.548	Q (Ivy): can the interface express, not just reveal?. So far, you have talked about what this interface is revealing, what it is showing, and how it relates to higher-dimensional spaces I’m curious what you have thought about with respect to doing expressive
tidy_sections_to_chapters	tidy:section:006	❓ Question: can the interface be used to express things?	tidy_section	2	0.524662	0.681159	chapter:06	Salience-driven scale and opacity; zoom states	chapter	00:06:14.406	00:07:54.548	374.406	474.548	00:38:13.406	Salience-driven scale and opacity; zoom states. of some nodes For instance, there is a woman who was loosely related to some people in this area through gossip She is not as central to Pepys’s life Her centrality is low, but she is still an interesting figure
tidy_sections_to_chapters	tidy:section:006	❓ Question: can the interface be used to express things?	tidy_section	3	0.473276	0.363636	chapter:01	Intro: good mental models, high-bandwidth visual cognition	chapter	00:00:00.838	00:00:52.468	0.838	52.468	00:31:59.838	Intro: good mental models, high-bandwidth visual cognition. Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are
tidy_sections_to_chapters	tidy:section:007	🔁 Projecting back and arranging meaning	tidy_section	1	0.906365	0.975	chapter:08	Projecting back with UMAP: where would a new thing land?	chapter	00:08:12.087	00:10:12.774	492.087	612.774	00:40:11.087	Projecting back with UMAP: where would a new thing land?. There is a popular library called UMAP Learn that lets us do that UMAP is a common solution for dimensionality reduction of high dimensional data It does not have a global objective It is mostly local,
