topic_id	title	cluster	icon_path	best_chapter	best_chapter_start	best_chapter_end	best_chapter_score	best_short_window_start	best_short_window_end	best_short_window_score	best_short_window_text	best_broad_window_start	best_broad_window_end	best_broad_window_score	best_broad_window_text
mental-model-building	Mental Model Building	mental-models	talk2/normalised_images/mental-model-building.webp	Intro: good mental models, high-bandwidth visual cognition	00:00:00.838	00:00:52.468	0.570482	00:00:00.838	00:01:18.256	0.471793	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter	00:00:00.838	00:02:06.651	0.42617	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter
high-bandwidth-visual-cognition	High-Bandwidth Visual Cognition	mental-models	talk2/normalised_images/high-bandwidth-visual-cognition.webp	Intro: good mental models, high-bandwidth visual cognition	00:00:00.838	00:00:52.468	0.713059	00:00:00.838	00:01:18.256	0.573563	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter	00:00:00.838	00:02:06.651	0.529833	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter
semantic-spaces-made-intelligible	Semantic Spaces Made Intelligible	mental-models	talk2/normalised_images/semantic-spaces-made-intelligible.webp	Shared geometry across models; interpretability and safety	00:12:55.193	00:14:05.193	0.557904	00:00:00.838	00:01:18.256	0.575782	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter	00:12:43.215	00:14:23.403	0.559341	and embedding spaces, they are finding out some really cool things recently Particular geometric patterns are being shared among completely different models We are starting to peer into that geometric representation space that they have learned in high dimens
topic-map-as-medium	Topic Map as Medium	mental-models	talk2/normalised_images/topic-map-as-medium.webp	Why the first map looks messy (high-D to 2D, overlap, force-directed kludge)	00:00:52.468	00:01:35.655	0.466537	00:00:00.838	00:01:18.256	0.484644	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter	00:05:54.978	00:07:59.307	0.476867	There is a lot that could be done I do have large-language-model-generated salience scores for some of the topics I use those to adjust the scale and opacity of some nodes For instance, there is a woman who was loosely related to some people in this area thro
semantic-embeddings	Semantic Embeddings	semantic-map-layout	talk2/normalised_images/semantic-embeddings.webp	No-overlap layout that keeps semantic integrity	00:01:35.655	00:03:57.121	0.512755	00:02:06.681	00:03:49.380	0.554506	But then we have to tweak all kinds of fiddly variables to keep the semantic integrity authentic It is also a bit of a kludge to switch to a different kind of algorithm at presentation time without any consideration of the semantic embeddings themselves I hav	00:02:06.681	00:04:58.331	0.548603	But then we have to tweak all kinds of fiddly variables to keep the semantic integrity authentic It is also a bit of a kludge to switch to a different kind of algorithm at presentation time without any consideration of the semantic embeddings themselves I hav
dimensionality-reduction	Dimensionality Reduction	semantic-map-layout	talk2/normalised_images/dimensionality-reduction.webp	Why the first map looks messy (high-D to 2D, overlap, force-directed kludge)	00:00:52.468	00:01:35.655	0.590521	00:00:52.468	00:02:06.651	0.589667	This is what happens when a data set of topics is projected down from high-dimensional space into 2D space We should expect it to be a mess We should expect overlap By default, there is not a clean reduction down to two-dimensional space That should not be su	00:00:52.468	00:03:15.272	0.583009	This is what happens when a data set of topics is projected down from high-dimensional space into 2D space We should expect it to be a mess We should expect overlap By default, there is not a clean reduction down to two-dimensional space That should not be su
raw-projection-messiness	Raw Projection Messiness	semantic-map-layout	talk2/normalised_images/raw-projection-messiness.webp	Why the first map looks messy (high-D to 2D, overlap, force-directed kludge)	00:00:52.468	00:01:35.655	0.683004	00:00:25.679	00:01:42.276	0.626474	information efficiently I’m interested in how things like embeddings, generated categories, different kinds of relationships and graph structures can be used to make useful visualisations that do not look like a mess Speaking of which, this looks like a mess	00:00:00.838	00:02:06.651	0.607017	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter
screen-space-dimension	Screen-Space Dimension	semantic-map-layout	talk2/normalised_images/screen-space-dimension.webp	Q (maf): nodes as regions not points, Voronoi	00:11:35.105	00:12:55.193	0.554378	00:11:30.422	00:12:23.639	0.643728	But in an actual 2D space, things also have dimensions They have shapes We also think in categories On the screen, in a user interface many of those things could be grouped together by putting them in a box, or surrounding them with a line That is how many mi	00:11:30.422	00:13:05.943	0.597442	But in an actual 2D space, things also have dimensions They have shapes We also think in categories On the screen, in a user interface many of those things could be grouped together by putting them in a box, or surrounding them with a line That is how many mi
overlap-problem	Overlap Problem	semantic-map-layout	talk2/normalised_images/overlap-problem.webp	Why the first map looks messy (high-D to 2D, overlap, force-directed kludge)	00:00:52.468	00:01:35.655	0.576535	00:00:52.468	00:02:06.651	0.600573	This is what happens when a data set of topics is projected down from high-dimensional space into 2D space We should expect it to be a mess We should expect overlap By default, there is not a clean reduction down to two-dimensional space That should not be su	00:00:52.468	00:03:15.272	0.596696	This is what happens when a data set of topics is projected down from high-dimensional space into 2D space We should expect it to be a mess We should expect overlap By default, there is not a clean reduction down to two-dimensional space That should not be su
semantic-integrity	Semantic Integrity	semantic-map-layout	talk2/normalised_images/semantic-integrity.webp	No-overlap layout that keeps semantic integrity	00:01:35.655	00:03:57.121	0.584721	00:02:06.681	00:03:49.380	0.589272	But then we have to tweak all kinds of fiddly variables to keep the semantic integrity authentic It is also a bit of a kludge to switch to a different kind of algorithm at presentation time without any consideration of the semantic embeddings themselves I hav	00:02:06.681	00:04:58.331	0.562509	But then we have to tweak all kinds of fiddly variables to keep the semantic integrity authentic It is also a bit of a kludge to switch to a different kind of algorithm at presentation time without any consideration of the semantic embeddings themselves I hav
